fid,new_commun,old_commun,mean_runoff,date
13,MAROTOKO,MAROTOKO,0.01385019522624811,2001-10
1,RANOMAFANA,RANOMAFANA,0.01310717304238055,2001-10
10,TSARATANANA,TSARATANANA,0.012728710756927844,2001-10
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.008041702805815676,2001-11
4,AMBOHIMIERA,AMBOHIMIERA,0.008447344642434629,2001-11
9,ANALAMPASINA,ANALAMPASINA,0.008676696669247405,2001-11
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.008550547311599247,2001-11
7,AMBIABE,ANDRORANGAVOLA,0.00873855877372168,2001-11
14,ANTARETRA,ANTARETRA,0.00763903322399824,2001-11
15,ANTSINDRA,ANTSINDRA,0.005249201840208991,2001-11
5,AMPASINAMBO,FASINTSARA,0.007967392576991885,2001-11
11,FASINTSARA,FASINTSARA,0.005908160041722039,2001-11
8,IFANADIANA,IFANADIANA,0.008576611146819306,2001-11
3,KELILALINA,KELILALINA,0.008796826280746788,2001-11
12,MAROHARATRA,MAROHARATRA,0.006372914552144597,2001-11
13,MAROTOKO,MAROTOKO,0.008528695105941281,2001-11
1,RANOMAFANA,RANOMAFANA,0.008766592494643686,2001-11
10,TSARATANANA,TSARATANANA,0.007918010933035154,2001-11
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.03146495952974642,2001-12
4,AMBOHIMIERA,AMBOHIMIERA,0.025625452332876435,2001-12
9,ANALAMPASINA,ANALAMPASINA,0.02594605916208988,2001-12
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.01384520373135534,2001-12
7,AMBIABE,ANDRORANGAVOLA,0.014535989993737978,2001-12
14,ANTARETRA,ANTARETRA,0.016141592010091705,2001-12
15,ANTSINDRA,ANTSINDRA,0.03875549925267027,2001-12
5,AMPASINAMBO,FASINTSARA,0.024217710955751055,2001-12
11,FASINTSARA,FASINTSARA,0.03463224301603383,2001-12
8,IFANADIANA,IFANADIANA,0.01709581630190872,2001-12
3,KELILALINA,KELILALINA,0.017503763310912426,2001-12
12,MAROHARATRA,MAROHARATRA,0.03244259543808333,2001-12
13,MAROTOKO,MAROTOKO,0.010381394798219033,2001-12
1,RANOMAFANA,RANOMAFANA,0.01733763055071473,2001-12
10,TSARATANANA,TSARATANANA,0.025594991148658087,2001-12
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.030318737337376982,2002-01
4,AMBOHIMIERA,AMBOHIMIERA,0.024328675305821695,2002-01
9,ANALAMPASINA,ANALAMPASINA,0.034212289979971694,2002-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.018700894947821674,2002-01
7,AMBIABE,ANDRORANGAVOLA,0.02018282384103867,2002-01
14,ANTARETRA,ANTARETRA,0.025692506587877664,2002-01
15,ANTSINDRA,ANTSINDRA,0.03316956325424039,2002-01
5,AMPASINAMBO,FASINTSARA,0.029462805119136765,2002-01
11,FASINTSARA,FASINTSARA,0.035556531854574025,2002-01
8,IFANADIANA,IFANADIANA,0.0262615447370864,2002-01
3,KELILALINA,KELILALINA,0.024398144034513465,2002-01
12,MAROHARATRA,MAROHARATRA,0.02599724632066695,2002-01
13,MAROTOKO,MAROTOKO,0.01667262627883413,2002-01
1,RANOMAFANA,RANOMAFANA,0.023588190420955692,2002-01
10,TSARATANANA,TSARATANANA,0.03198281055295809,2002-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.18050443536417288,2002-02
4,AMBOHIMIERA,AMBOHIMIERA,0.11862984149040702,2002-02
9,ANALAMPASINA,ANALAMPASINA,0.1808078638967131,2002-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.06768446794928429,2002-02
7,AMBIABE,ANDRORANGAVOLA,0.08963434679005292,2002-02
14,ANTARETRA,ANTARETRA,0.09240552520657072,2002-02
15,ANTSINDRA,ANTSINDRA,0.18477491244169839,2002-02
5,AMPASINAMBO,FASINTSARA,0.1726187989760851,2002-02
11,FASINTSARA,FASINTSARA,0.21859913879028223,2002-02
8,IFANADIANA,IFANADIANA,0.10272837429808025,2002-02
3,KELILALINA,KELILALINA,0.11164069353658682,2002-02
12,MAROHARATRA,MAROHARATRA,0.1688089942743315,2002-02
13,MAROTOKO,MAROTOKO,0.06764162778821131,2002-02
1,RANOMAFANA,RANOMAFANA,0.10545440038209292,2002-02
10,TSARATANANA,TSARATANANA,0.15306003182146108,2002-02
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,0.23837346338460888,2002-03
4,AMBOHIMIERA,AMBOHIMIERA,0.18103290765696325,2002-03
9,ANALAMPASINA,ANALAMPASINA,0.1969542507761649,2002-03
6,ANDRORANGAVOLA,ANDRORANGAVOLA,0.2011032252794055,2002-03
